index;name;album;artist;release_date;length;popularity;mode;acousticness;danceability;energy;instrumentalness;liveness;valence;loudness;speechiness;tempo;duration_ms;time_signature;genre;url
1974;Maluquices;De Volta Pro Amanhã (Deluxe);Sorriso Maroto;42531;188786;38;0;0,624;0,677;0,704;0;0,129;0,938;-7,181;0,0304;154,107;188787;4;['pagode', 'sertanejo universitario'];https://open.spotify.com/track/6FJ68oETweWgNJUKrIFQmw
1975;Seja Engrandecido;Memórias;Eli Soares;42370;248361;38;1;0,317;0,432;0,408;0;0,181;0,166;-8,457;0,0337;139,86;248362;4;['adoracao', 'brazilian gospel', 'rock gospel brasileiro'];https://open.spotify.com/track/2C0ccGNcQWfu4iTyQ7GSZg
1976;Amor Teimoso;Lugar de Origem;Jeferson Pillar;42415;177794;38;1;0,408;0,777;0,549;0;0,275;0,838;-7,466;0,0498;79,024;177794;4;['louvor'];https://open.spotify.com/track/4OHEfSzca9pRaeOIh7gE8s
1977;Dois Amores;Vitor Kley;Vitor Kley;42685;205054;38;1;0,15;0,746;0,708;0;0,152;0,59;-3,295;0,0282;141,965;205055;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/7xREbLHUXJU9z0lmxqFJxZ
1978;Tenebrosa;Tenebrosa;Mc Livinho;42580;198974;38;0;0,549;0,878;0,682;0;0,104;0,493;-5,491;0,104;130,099;198975;4;['brega funk', 'funk carioca', 'funk das antigas', 'funk ostentacao'];https://open.spotify.com/track/6BAQQOXzjEU8BAjmrTXwQ4
1979;Feel No Ways;Views;Drake;42496;240653;69;1;0,0312;0,582;0,677;0,0000066;0,122;0,205;-7,081;0,172;193,818;240653;4;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];https://open.spotify.com/track/3cjF2OFRmip8spwZYQRKxP
1980;Are We Ready? (Wreck);Gameshow;Two Door Cinema Club;42657;230853;53;0;0,00522;0,601;0,752;0,00732;0,337;0,735;-6,626;0,032;93,988;230853;4;['indie pop', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock'];https://open.spotify.com/track/0loXYu3N98L7vy2lNbYm2t
1981;Fração de Segundo - Versão Acústica;Fração de Segundo - Single;NX Zero;42503;194024;38;0;0,326;0,559;0,576;0;0,0998;0,584;-6,631;0,028;87,085;194024;4;['brazilian emo', 'brazilian rock', 'pop rock brasileiro', 'rock alternativo brasileiro'];https://open.spotify.com/track/7xZPwzLC24VRg5HyOBC28K
1982;Dark Days;Sunlit Youth;Local Natives;42622;181386;54;1;0,124;0,599;0,597;0,00123;0,0946;0,639;-8,322;0,0277;115,027;181387;4;['chillwave', 'electropop', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'rock', 'shimmer pop', 'stomp and holler', 'vapor soul'];https://open.spotify.com/track/7j24QT8Ic9jezjH0s4Lg5B
1983;Too Fast;Too Fast;Sonder;42668;308005;64;0;0,316;0,395;0,33;0,0000189;0,268;0,102;-10,924;0,0408;98,813;308006;3;['dmv rap', 'rap'];https://open.spotify.com/track/42QRyJd5x6e2TFR1S41g2p
1984;Abajur;Na Praia (Ao Vivo);Matheus & Kauan;42426;166413;38;1;0,752;0,759;0,439;0,00000123;0,0775;0,665;-6,778;0,0357;97,984;166413;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/6F9i2tMRWVWYp3FqcxSNOd
1985;Na Hora da Raiva;Haja Coração, Vol. 1;Various Artists;42517;174240;38;1;0,616;0,643;0,773;0;0,0833;0,601;-2,859;0,0375;117,935;174240;4;['reggaeton', 'reggaeton flow'];https://open.spotify.com/track/0h6Q3QvVIbBtA1QshrIR6t
1986;Sing Me to Sleep;Sing Me to Sleep;Alan Walker;42524;189333;59;0;0,0125;0,491;0,607;0,00000152;0,289;0,166;-6,333;0,0668;176,112;189333;4;['electro house'];https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH
1987;O Redator;Azul;Zimbra;42544;231304;38;1;0,546;0,464;0,563;0;0,215;0,491;-6,062;0,0268;137,904;231304;4;['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo'];https://open.spotify.com/track/6pwtuXoKlbSHPK2x7njFG6
1988;Desperdiçou - Ao Vivo;Meu Canto (Ao Vivo No Teatro Municipal De Niterói / Edição Especial);Sandy;42545;174791;38;1;0,222;0,598;0,726;0,00000255;0,81;0,625;-7,424;0,0551;100,044;174792;4;['meme rap'];https://open.spotify.com/track/7uc4liVNwKeUTo8EfSBT9Z
1989;Daft Pretty Boys;Disappear Here;Bad Suns;42629;187013;56;1;0,048;0,665;0,823;0;0,0927;0,672;-5,686;0,059;136,992;187013;4;['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock'];https://open.spotify.com/track/58hbLmAfFQA4zbxcbRCO4P
1990;Magaiver;Rogério;Supercombo;42573;204360;38;1;0,132;0,496;0,822;0;0,064;0,867;-6,605;0,0963;197,07;204360;4;['brazilian rock', 'musica triste brasileira', 'nova mpb', 'pop rock brasileiro'];https://open.spotify.com/track/5gWaoKeHCnlDj8ZtjpGOvc
1991;Demorô;Ainda Há Tempo;Criolo;42514;138480;38;0;0,0528;0,755;0,709;0;0,0825;0,657;-5,066;0,289;140,989;138480;4;['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin afrobeat', 'manguebeat'];https://open.spotify.com/track/1YuVO6AipAn5U1VoG1RBGN
1992;The Life;7/27 (Deluxe);Fifth Harmony;42517;200893;50;1;0,171;0,739;0,762;0;0,107;0,744;-5,633;0,0486;104;200893;4;['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show'];https://open.spotify.com/track/06qKsOkkOeZzGyciSEuyJb
1993;Company;Company;Tinashe;42629;220021;53;1;0,552;0,897;0,498;0;0,127;0,96;-5;0,0605;119,991;220021;4;['edm', 'electropop', 'pop', 'tropical house'];https://open.spotify.com/track/1608cOZINzEjaREvqEaDBd
1994;Tributo Ao Iehovah (Eu Sou Grato);Memórias;Eli Soares;42370;293974;38;1;0,322;0,346;0,403;0,0000161;0,134;0,152;-11,513;0,0424;93,991;293974;4;['adoracao', 'brazilian gospel', 'rock gospel brasileiro'];https://open.spotify.com/track/1M7bFCIDTDWQeJc0EZCXki
1995;Spit Out The Bone;Hardwired…To Self-Destruct (Deluxe);Metallica;42692;429198;48;1;0,00000907;0,154;0,987;0,0559;0,153;0,454;-3,951;0,0875;168,127;429199;4;['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal'];https://open.spotify.com/track/1bYK3KYk7aK3f4IqbRi1yB
1996;Meu Carro Virou Hotel;Aviões;Aviões do Forró;42479;154540;38;1;0,596;0,53;0,729;0,0000122;0,391;0,773;-6,341;0,179;166,313;154540;4;['axe', 'forro', 'pagode', 'sertanejo', 'sertanejo universitario'];https://open.spotify.com/track/0eBZHEhoOYpHmfWibRADrU
1997;Adestrador de Cadela;Mc Mm;MC MM;42712;135301;38;1;0,186;0,875;0,922;0,000194;0,0555;0,86;-1,777;0,216;86,692;135301;5;[];https://open.spotify.com/track/3KvdwYQoZLV8tVGqC51Yct
1998;Tears (feat. Louisa Johnson);Tears (feat. Louisa Johnson);Clean Bandit;42517;225914;62;0;0,0431;0,605;0,77;0;0,159;0,298;-3,645;0,0446;130,037;225915;4;['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky'];https://open.spotify.com/track/7py16W5fWYLFFS6BElKAjn
1999;Ressaca Moral - Ao Vivo;Ao Vivo em São José do Rio Preto (Deluxe);Zé Neto & Cristiano;42685;177186;38;1;0,267;0,673;0,892;0;0,567;0,364;-4,15;0,0562;135,956;177187;4;['sertanejo pop'];https://open.spotify.com/track/6j7Biti1RWyD2Gsk4ZCrqp
2000;Believer;Evolve;Imagine Dragons;42909;204346;87;0;0,0622;0,776;0,78;0;0,081;0,666;-4,374;0,128;124,949;204347;4;['modern rock', 'pop', 'rock'];https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
2001;Fica;Fica;ANAVITÓRIA;42843;184267;68;1;0,468;0,629;0,507;0;0,0937;0,55;-6,443;0,0288;94,023;184267;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/3KK3nLgrRdycpnYxPDVfMV
2002;Deixe Me Ir - Acústico;Deixe Me Ir (Acústico);1Kilo;42811;213191;69;1;0,841;0,555;0,439;0;0,106;0,705;-11,026;0,222;186,581;213192;4;['brazilian edm', 'brazilian hip hop', 'pop rap brasileiro', 'trap brasileiro'];https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
2003;Shape of You;÷ (Deluxe);Ed Sheeran;42797;233712;85;0;0,581;0,825;0,652;0;0,0931;0,931;-3,183;0,0802;95,977;233713;4;['pop', 'uk pop'];https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2004;Poesia Acústica #2: Sobre Nós;Poesia Acústica #2: Sobre Nós;Various Artists;42959;471767;68;1;0,703;0,61;0,641;0;0,183;0,802;-9,841;0,189;93,725;471768;4;['reggaeton', 'reggaeton flow'];https://open.spotify.com/track/6HaTYIUKd8SzdvGOfutBRD
2005;Thunder;Evolve;Imagine Dragons;42909;187146;84;1;0,00671;0,605;0,822;0,134;0,147;0,288;-4,833;0,0438;167,997;187147;4;['modern rock', 'pop', 'rock'];https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
2006;Só Hoje - Acústico;Acústico Jota Quest;Jota Quest;43000;307055;68;1;0,249;0,501;0,564;0,00000675;0,418;0,438;-9,358;0,0306;144,101;307055;4;['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro', 'sertanejo universitario'];https://open.spotify.com/track/3dQlFoNRi1mjKBPVXXEjYt
2007;Poesia Acústica #3: Capricorniana;Poesia Acústica #3: Capricorniana;Various Artists;43043;430296;67;0;0,173;0,727;0,585;0;0,221;0,565;-10,229;0,176;151,865;430296;4;['reggaeton', 'reggaeton flow'];https://open.spotify.com/track/1YUWhlQjFv7MQpcbb77zTL
2008;Perfect;÷ (Deluxe);Ed Sheeran;42797;263400;86;1;0,163;0,599;0,448;0;0,106;0,168;-6,312;0,0232;95,05;263400;3;['pop', 'uk pop'];https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
2009;Never Let Me Go;Never Let Me Go;Alok;42860;184070;67;1;0,041;0,726;0,835;0,00000945;0,068;0,579;-3,914;0,0341;123,986;184071;4;['brazilian edm', 'edm', 'electro house', 'pop house'];https://open.spotify.com/track/1yzBGun3xDY7WpHOIP9nNp
2010;Olhos Castanhos - Acústico;Olhos Castanhos (Acústico);Luísa Sonza;42963;205626;66;0;0,352;0,565;0,482;0;0,104;0,649;-6,923;0,0399;174,059;205627;4;['funk carioca', 'pop nacional'];https://open.spotify.com/track/2ZeZhrHpjnBLaRFU9d2bl4
2011;Too Good At Goodbyes;The Thrill Of It All (Special Edition);Sam Smith;43042;201000;81;1;0,64;0,681;0,372;0;0,169;0,476;-8,237;0,0432;91,873;201000;4;['pop', 'post-teen pop', 'uk pop'];https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
2012;Ponto Fraco - Ao Vivo;Só Vem! (ao Vivo) - Deluxe;Thiaguinho;42951;205430;65;1;0,725;0,605;0,827;0;0,952;0,785;-6,635;0,0503;151,733;205430;4;['batidao romantico', 'brega funk', 'brega romantico', 'forro de favela', 'funk carioca'];https://open.spotify.com/track/0KkZFQSvZrTL1zU3cX8Z7e
